algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
rgrasp,C205,C,2,586.4,586.4,0.0,3.0,0.0,0.0,16181.433333333332,803.4333333333333,2.933333333333333,49.03333333333333,0.3033496817911345
rgrasp,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0,20495.033333333333,801.0,2.0,14.166666666666666,0.06913195659260975
rgrasp,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0,20599.6,801.3666666666667,2.2666666666666666,29.033333333333335,0.1425958128827117
rgrasp,C208,C,2,585.8,585.8,0.0,3.0,0.0,0.0,23496.466666666667,801.2333333333333,2.2,27.266666666666666,0.11581807822601944
rgrasp,R101,R,1,1641.7233333333331,1638.7,1.3614605071920811,20.0,0.24580000000000002,0.061,28451.3,1472.0666666666666,9.066666666666666,13142.633333333333,39.247222645592224
rgrasp,R102,R,1,1467.3866666666665,1466.6,0.6457998693592314,18.0,0.053533333333333336,0.0,49090.6,1379.2333333333333,7.9,20703.066666666666,36.18741727998385
rgrasp,R103,R,1,1223.1066666666666,1212.6,3.4162828492013535,14.266666666666667,1.1919666666666666,0.323,48028.3,1424.8,7.933333333333334,21035.666666666668,37.20645078115364
rgrasp,R104,R,1,998.6966666666667,991.2,3.7599966373181433,11.066666666666666,2.7993666666666663,2.028,50174.2,1468.3333333333333,8.166666666666666,23005.1,40.202557745870784
rgrasp,R105,R,1,1371.07,1360.0,5.546925212254515,15.433333333333334,1.1635666666666666,0.347,30970.833333333332,1330.0333333333333,7.366666666666666,12354.166666666666,34.76207570856707
rgrasp,R106,R,1,1252.6566666666665,1241.2,4.628225498435445,13.133333333333333,1.4626,0.535,45681.2,1480.6,9.033333333333333,21119.266666666666,40.63209234484974
rgrasp,R107,R,1,1094.45,1083.1,5.153288203695312,11.733333333333333,2.8038666666666665,1.738,46549.96666666667,1472.1,8.733333333333333,21420.966666666667,40.03800733412796
rgrasp,R108,R,1,961.61,948.8,5.530813371623037,10.666666666666666,3.166033333333333,1.792,47976.46666666667,1412.0666666666666,9.266666666666667,20975.4,37.78138710801867
rgrasp,R109,R,1,1170.2266666666667,1158.5,6.9949209817003055,13.166666666666666,2.0340000000000003,1.011,38923.1,1454.6333333333334,9.166666666666666,17593.733333333334,37.48835056397635
rgrasp,R110,R,1,1106.77,1088.3,6.787978725100232,12.066666666666666,3.6302000000000003,1.901,42712.46666666667,1457.8666666666666,8.666666666666666,19279.2,39.866630160611706
rgrasp,R111,R,1,1075.1266666666666,1063.5,5.846185513432761,11.933333333333334,2.5199,1.411,44387.566666666666,1381.0333333333333,8.533333333333333,18794.066666666666,37.946743972573614
rgrasp,R112,R,1,983.26,973.9,5.163839790244289,10.733333333333333,3.6538666666666666,2.667,44614.36666666667,1573.6666666666667,9.4,21936.066666666666,42.25966536275795
rgrasp,R201,R,2,1196.01,1180.3,6.1658318788806605,5.2,4.619466666666667,3.245,70244.33333333333,1451.1666666666667,8.7,31519.533333333333,39.91057153557516
rgrasp,R202,R,2,1049.17,1036.9,6.669960967677754,5.066666666666666,1.9008,0.709,95507.63333333333,1347.6666666666667,8.5,38742.3,35.93179305778816
rgrasp,R203,R,2,899.2199999999999,893.3,4.522617490515588,4.166666666666667,3.2637,2.584,142565.66666666666,1526.9333333333334,8.766666666666667,67715.63333333333,41.835280372935195
rgrasp,R204,R,2,749.3233333333334,740.3,4.134521056642002,3.6,2.464566666666667,1.231,123363.16666666667,1331.4666666666667,8.933333333333334,48400.7,32.06876099362732
rgrasp,R205,R,2,980.67,971.9,5.010550936738921,4.0,3.2501666666666664,2.327,76461.4,1397.8,8.4,32773.8,35.680824584722934
rgrasp,R206,R,2,901.1866666666666,893.6,5.2748416111755,4.0,2.8868666666666667,2.021,106398.06666666667,1521.4666666666667,9.533333333333333,50029.46666666667,41.603666395866775
rgrasp,R207,R,2,822.6033333333332,804.9,8.458070348666345,3.3,3.602433333333333,1.373,118424.5,1323.5666666666666,8.633333333333333,46779.433333333334,32.94898807000963
rgrasp,R208,R,2,709.4733333333334,705.0,3.0751432075801874,3.0,1.2087,0.571,119154.6,1357.5,8.0,48539.433333333334,31.548014101792326
rgrasp,R209,R,2,881.9233333333334,873.3,5.179114778131263,4.0,3.1731333333333334,2.164,85287.23333333334,1360.3,8.3,34863.13333333333,34.95808750415172
rgrasp,R210,R,2,931.0033333333333,919.4,5.330425572279312,4.166666666666667,3.3873666666666664,2.099,96168.23333333334,1355.8666666666666,8.5,38862.666666666664,35.10758779219915
rgrasp,R211,R,2,785.42,775.2,7.3232930222444725,3.066666666666667,5.185566666666667,3.817,84527.5,1421.1,9.033333333333333,36648.166666666664,39.768570634166444
rgrasp,RC101,RC,1,1646.8866666666665,1638.9,3.7008604156455283,16.733333333333334,1.6723333333333334,1.179,33778.46666666667,1436.5666666666666,7.133333333333334,14978.166666666666,39.12182949337735
rgrasp,RC102,RC,1,1478.8266666666668,1457.6,5.584889301118499,14.866666666666667,1.4702,0.014,43157.8,1366.0,8.2,17999.066666666666,36.325578816459554
rgrasp,RC103,RC,1,1286.45,1275.8,6.817915041802842,11.7,2.2614666666666663,1.415,51476.666666666664,1479.0333333333333,8.233333333333333,23770.233333333334,40.43594352446417
rgrasp,RC104,RC,1,1158.5033333333333,1141.7,6.216966958326217,10.566666666666666,2.3141666666666665,0.83,49655.96666666667,1569.5333333333333,9.2,24524.766666666666,43.857266463122194
rgrasp,RC105,RC,1,1540.0566666666666,1526.9,7.305863650394856,15.3,1.7411999999999999,0.872,46401.8,1450.1666666666667,8.2,20955.066666666666,40.42526242987879
rgrasp,RC106,RC,1,1409.28,1393.5,5.655049620197561,13.4,2.6648666666666667,1.515,37300.03333333333,1409.2666666666667,7.9,16203.5,36.65980011831903
rgrasp,RC107,RC,1,1246.88,1216.5,9.721550890888617,12.3,3.2356333333333334,0.72,41504.96666666667,1410.1333333333334,8.733333333333333,18128.6,39.51638843002828
rgrasp,RC108,RC,1,1134.6066666666666,1114.2,6.964834494819637,11.0,1.8315666666666668,0.0,39432.73333333333,1337.3666666666666,8.066666666666666,16031.866666666667,35.075653533772176
rgrasp,RC201,RC,2,1314.48,1296.5,7.618100043702662,5.733333333333333,4.175033333333333,2.75,61498.566666666666,1457.9666666666667,9.133333333333333,27696.0,39.85887292714387
rgrasp,RC202,RC,2,1117.8733333333334,1115.7,3.5899220367419606,5.0,2.3412333333333333,2.142,83548.03333333334,1321.4333333333334,8.666666666666666,32591.7,35.357644757693926
rgrasp,RC203,RC,2,955.44,939.0,7.8219672981797395,4.7,3.4361666666666664,1.656,90741.7,1198.6333333333334,8.1,29826.3,28.05846388669328
rgrasp,RC204,RC,2,791.0699999999999,783.5,4.407059383964909,4.0,0.9662000000000001,0.0,109216.3,1332.3333333333333,8.233333333333333,43676.36666666667,33.034453726879626
