config,neighborhoods,instance,family,type,dist,veh,time_ms,gap_pct
cumul:Relocate,relocate,R106,R,1,1317.0,14,8,6.674226470111785
cumul:Relocate+Or-opt,"relocate,oropt",R106,R,1,1317.0,14,9,6.674226470111785
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R106,R,1,1315.9,14,12,6.585128786651562
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R106,R,1,1315.9,14,11,6.585128786651562
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R106,R,1,1301.5,14,22,5.418759112263089
sem:Relocate,"oropt,swap,twoopt,cross",R106,R,1,1329.1,14,36,7.654300988174308
sem:Or-opt,"relocate,swap,twoopt,cross",R106,R,1,1301.5,14,17,5.418759112263089
sem:Swap,"relocate,oropt,twoopt,cross",R106,R,1,1301.5,14,24,5.418759112263089
sem:2-opt,"relocate,oropt,swap,cross",R106,R,1,1301.5,14,22,5.418759112263089
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R106,R,1,1315.9,14,12,6.585128786651562
cumul:Relocate,relocate,R107,R,1,1209.3,12,13,13.591959421378927
cumul:Relocate+Or-opt,"relocate,oropt",R107,R,1,1204.5,12,17,13.141085853841828
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R107,R,1,1203.5,12,19,13.047153860604933
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R107,R,1,1203.5,12,19,13.047153860604933
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R107,R,1,1172.5,12,32,10.13526207026114
sem:Relocate,"oropt,swap,twoopt,cross",R107,R,1,1209.0,12,59,13.563779823407863
sem:Or-opt,"relocate,swap,twoopt,cross",R107,R,1,1177.5,12,25,10.604922036445624
sem:Swap,"relocate,oropt,twoopt,cross",R107,R,1,1172.5,12,34,10.13526207026114
sem:2-opt,"relocate,oropt,swap,cross",R107,R,1,1172.5,12,33,10.13526207026114
sem:Cross-exch.,"relocate,oropt,swap,twoopt",R107,R,1,1203.5,12,19,13.047153860604933
cumul:Relocate,relocate,R108,R,1,1138.7,11,6,22.165003754961916
cumul:Relocate+Or-opt,"relocate,oropt",R108,R,1,1138.7,11,7,22.165003754961916
cumul:Relocate+Or-opt+Swap,"relocate,oropt,swap",R108,R,1,1125.1,11,24,20.70593283982404
cumul:Relocate+Or-opt+Swap+2-opt,"relocate,oropt,swap,twoopt",R108,R,1,1125.1,11,24,20.70593283982404
cumul:Relocate+Or-opt+Swap+2-opt+Cross-exch.,"relocate,oropt,swap,twoopt,cross",R108,R,1,1121.2,11,31,20.28752279798305
sem:Relocate,"oropt,swap,twoopt,cross",R108,R,1,1131.8,11,37,21.42473983478167
