algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best
tabu,RC107,RC,1,1255.5,1255.5,0.0,13.0,3.949,3.949
tabu,RC108,RC,1,1143.3,1143.3,0.0,11.0,2.612,2.612
tabu,RC201,RC,2,1505.1,1505.1,0.0,5.0,19.282,19.282
tabu,RC202,RC,2,1223.7,1223.7,0.0,4.0,12.03,12.03
tabu,RC203,RC,2,1016.9,1016.9,0.0,4.0,10.09,10.09
tabu,RC204,RC,2,825.7,825.7,0.0,4.0,5.386,5.386
tabu,RC205,RC,2,1327.7,1327.7,0.0,5.0,15.052,15.052
tabu,RC206,RC,2,1130.9,1130.9,0.0,4.0,7.592,7.592
tabu,RC207,RC,2,1034.6,1034.6,0.0,4.0,7.446,7.446
tabu,RC208,RC,2,915.4,915.4,0.0,3.0,17.949,17.949
vnd,C101,C,1,827.3,827.3,0.0,10.0,0.0,0.0
vnd,C102,C,1,841.1,841.1,0.0,10.0,1.668,1.668
vnd,C103,C,1,873.2,873.2,0.0,10.0,5.676,5.676
vnd,C104,C,1,898.2,898.2,0.0,10.0,9.151,9.151
vnd,C105,C,1,827.3,827.3,0.0,10.0,0.0,0.0
vnd,C106,C,1,827.3,827.3,0.0,10.0,0.0,0.0
vnd,C107,C,1,827.3,827.3,0.0,10.0,0.0,0.0
vnd,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0
vnd,C109,C,1,880.2,880.2,0.0,11.0,6.394,6.394
vnd,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0
vnd,C202,C,2,617.9,617.9,0.0,3.0,4.889,4.889
vnd,C203,C,2,622.2,622.2,0.0,4.0,5.691,5.691
vnd,C204,C,2,770.0,770.0,0.0,4.0,30.93,30.93
vnd,C205,C,2,606.8,606.8,0.0,3.0,3.479,3.479
vnd,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0
vnd,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0
vnd,C208,C,2,632.3,632.3,0.0,3.0,7.938,7.938
vnd,R101,R,1,1670.0,1670.0,0.0,21.0,1.972,1.972
vnd,R102,R,1,1509.5,1509.5,0.0,19.0,2.925,2.925
vnd,R103,R,1,1308.7,1308.7,0.0,16.0,8.273,8.273
vnd,R104,R,1,1048.4,1048.4,0.0,12.0,7.916,7.916
vnd,R105,R,1,1437.1,1437.1,0.0,15.0,6.036,6.036
vnd,R106,R,1,1301.5,1301.5,0.0,14.0,5.419,5.419
vnd,R107,R,1,1172.5,1172.5,0.0,12.0,10.135,10.135
vnd,R108,R,1,1121.2,1121.2,0.0,11.0,20.288,20.288
vnd,R109,R,1,1278.4,1278.4,0.0,14.0,11.466,11.466
vnd,R110,R,1,1196.2,1196.2,0.0,12.0,12.004,12.004
vnd,R111,R,1,1134.3,1134.3,0.0,12.0,8.162,8.162
vnd,R112,R,1,1051.9,1051.9,0.0,11.0,10.89,10.89
vnd,R201,R,2,1332.9,1332.9,0.0,5.0,16.594,16.594
vnd,R202,R,2,1160.7,1160.7,0.0,4.0,12.733,12.733
vnd,R203,R,2,1025.3,1025.3,0.0,4.0,17.742,17.742
vnd,R204,R,2,846.7,846.7,0.0,4.0,15.78,15.78
vnd,R205,R,2,1178.2,1178.2,0.0,4.0,24.047,24.047
vnd,R206,R,2,1076.7,1076.7,0.0,3.0,22.925,22.925
vnd,R207,R,2,940.7,940.7,0.0,3.0,18.476,18.476
vnd,R208,R,2,821.9,821.9,0.0,3.0,17.247,17.247
vnd,R209,R,2,954.6,954.6,0.0,4.0,11.675,11.675
vnd,R210,R,2,1093.5,1093.5,0.0,4.0,21.433,21.433
vnd,R211,R,2,929.0,929.0,0.0,3.0,24.414,24.414
vnd,RC101,RC,1,1691.1,1691.1,0.0,17.0,4.402,4.402
vnd,RC102,RC,1,1544.1,1544.1,0.0,15.0,5.949,5.949
vnd,RC103,RC,1,1403.1,1403.1,0.0,12.0,11.534,11.534
vnd,RC104,RC,1,1203.8,1203.8,0.0,12.0,6.315,6.315
